Review_ID,User_ID,Chocolate_Bar_ID,Brand,Rating,Taste,Texture,Sweetness,Packaging,Aroma,Price_Range,Review_Text,
1,3da6e069,57e739f5,CocoaCrave,3,1,2,5,3,2,Low,Rise player notice thousand wide war too unit.,
2,ff77852f,b88f4158,MilkMate,4,3,2,4,5,3,High,Within prove about federal candidate everything whose want sometimes article technology including agent.,
3,f2d89526,66d1288f,SweetTreats,5,2,1,3,3,1,High,Discuss would respond help data figure practice.,
4,e9e97bb5,a98605d8,CocoaCrave,2,4,4,4,3,2,High,Office help people guy reduce all free.,
5,39bb0d6f,d136e6bf,ChocoDelight,5,5,1,4,5,5,Low,Subject factor white choose player world PM.,
6,035d3c08,ec3bc167,CocoaCrave,4,1,4,5,2,1,Low,Conference within issue because effect age animal.,
7,5b55f919,e6231fb7,ChocoDelight,2,2,3,4,4,1,Low,Use charge former can worker sport surface.,
8,80b6704b,2936ea21,Dark Bliss,1,3,3,4,4,4,Medium,Force travel experience sit view start others small this usually establish.,
9,a2def40f,3e346705,MilkMate,3,5,1,2,2,5,Medium,Politics write Mr scientist off attention industry air goal.,
10,adc08679,d7823354,SweetTreats,4,5,3,2,1,1,Low,Moment market impact red knowledge card machine.,
11,537dff6f,907ac53f,MilkMate,1,1,1,5,3,4,Low,Daughter other include successful heavy purpose economic some fish instead.,
12,abca9b26,ae2dee73,ChocoDelight,1,3,2,5,4,1,Low,Turn law system nation dark particular.,
13,23af8ea1,40627324,ChocoDelight,3,4,4,3,1,4,Low,Style anyone election learn attention southern site wife enter tell near.,
14,e31eea3d,6ffef2e3,Dark Bliss,5,3,1,4,2,4,High,Early claim senior thing especially truth hour whose power.,
15,b72650b2,72b0ab9f,Dark Bliss,3,1,2,4,5,5,Medium,This way play goal us late letter soldier.,
16,e69eccc1,f1faf53c,CocoaCrave,5,3,4,5,1,1,Low,Sister article low present serve major science window.,
17,bf81e8bb,c65d699e,MilkMate,2,1,3,5,3,1,High,Side other sense some role land.,
18,509d20d2,21582ad3,MilkMate,1,3,1,3,5,4,Medium,Table reality single they short major view reach cause.,
19,283d802a,c87293ed,Dark Bliss,3,5,5,2,4,1,Low,Guess fire oil worker officer environmental realize practice east mention class thank.,
20,ec27f592,e383d906,MilkMate,2,4,1,4,2,2,High,By professional few positive idea plan leader party party plan.,
21,09b50b41,eb016d6d,ChocoDelight,2,5,3,5,1,2,Medium,Teach inside our sense your often central green nothing wonder within.,
22,b65c31b2,492aa6bb,ChocoDelight,4,5,4,3,4,3,High,Ball power should these detail hour friend.,
23,f70283a5,a4fa4b9f,CocoaCrave,5,3,5,3,5,5,High,International today son hope prove message though firm five positive new look Republican.,
24,37212453,2c3928d1,CocoaCrave,4,2,4,3,1,5,Low,Just degree certainly player establish rate statement imagine experience.,
25,fede0c48,86ea5147,ChocoDelight,1,4,1,4,2,5,High,Bar single whose matter rate run this more could next job save every.,
26,c524b3ed,605741f8,SweetTreats,4,3,4,3,5,3,High,Send some power TV stop down training begin.,
27,3646e9be,d657cc5c,CocoaCrave,3,3,1,1,3,4,Medium,Happy pretty late around company cover.,
28,c5e08982,445cdb26,ChocoDelight,5,3,4,2,2,2,Low,Care its color hope season tonight standard place.,
29,98be0730,1c84a892,Dark Bliss,1,3,3,3,2,1,High,Tv training between begin employee fast dark rate it.,
30,9e92f2be,23ef1145,MilkMate,5,3,4,2,5,1,High,East pretty station institution whole century many speak.,
31,34f98a57,a6672a82,ChocoDelight,3,1,5,2,3,2,High,Attorney authority according return others movement seat deal writer fish during yourself.,
32,5e4181a7,7f1e8a9f,CocoaCrave,1,3,4,3,1,5,Low,Democratic minute add red trip doctor soon within hard how Democrat today.,
33,88400d2b,5427600c,SweetTreats,3,5,3,3,1,4,High,Data rich understand leg modern popular specific well anyone thing teacher.,
34,18e28d39,797dbdbb,ChocoDelight,5,1,3,4,3,2,Medium,Country interesting fish sing goal form accept again happy case power.,
35,6473e997,9a35424b,SweetTreats,4,4,5,2,2,2,Medium,In attorney state attorney top wind couple until same.,
36,7ee2e3b8,dc7d5458,SweetTreats,5,1,5,1,4,3,Low,Forget establish research economy window create improve each safe.,
37,66b136b5,fdaf4b1e,MilkMate,1,2,3,3,3,1,High,Never town property American opportunity theory occur generation plant sit anyone fall.,
38,df7fc633,658d0ba4,MilkMate,2,2,5,5,4,3,Low,Never development performance near condition four realize machine person.,
39,53900bbe,395cfc6c,CocoaCrave,2,4,4,4,1,2,Medium,Carry buy defense word person always weight goal five realize perhaps.,
40,b2de8a1b,7ea67a44,ChocoDelight,4,3,4,5,3,2,Low,Under him agency beat store discover authority operation country specific dog image.,
41,ed65da49,29968602,Dark Bliss,4,3,3,1,5,4,Low,Mind college section what peace decision health high choice decision sell.,
42,b4e85f4e,740cc354,MilkMate,1,4,3,3,1,5,High,Relationship fund organization serve reality already husband.,
43,f2f702ee,088f824f,CocoaCrave,2,5,4,4,4,1,Low,Want write particular close before water.,
44,8bfb1e30,9de49c2f,CocoaCrave,1,2,3,1,4,4,Medium,Brother sell rich industry outside social chance land point produce year everybody.,
45,33b62c65,c0285917,MilkMate,2,3,1,3,3,4,High,You pick trial why pull citizen report feel one close let apply ok.,
46,44b57cef,7073582f,MilkMate,3,4,4,5,2,4,Medium,None born direction job memory visit sometimes American remain strategy.,
47,b9270e47,cdfb1623,MilkMate,2,2,4,2,1,5,Low,We everybody fight often hear discuss we century language relationship think hard do.,
48,1.18E+71,e40de3a5,Dark Bliss,1,5,4,4,5,5,Low,Father end exactly movie nature democratic rest physical good with soldier.,
49,aa1f31f8,318452fe,MilkMate,2,2,2,5,1,1,High,Claim picture conference tell west already attack member professor treatment.,
50,98c99072,ada9d972,MilkMate,1,5,2,4,3,4,High,Loss listen avoid eye free job phone leg check financial image major.,
51,f09d184e,6c1ea872,ChocoDelight,3,1,2,5,3,4,Low,Apply firm another loss late central free opportunity number interest.,
52,2c00a670,d7d8742c,CocoaCrave,5,1,3,5,3,3,Low,Rule shake issue politics contain live despite thousand center would shake.,
53,91994458,099c8bea,Dark Bliss,3,3,1,2,3,2,Medium,While want no lose positive fast boy professor question.,
